"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2008";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2009";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2010";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2011";64,2;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2012";54,0;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2013";61,0;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2014";51,8;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2015";51,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2016";54,4;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2017";37,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2018";46,2;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2019";;"osoba";"n";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2002";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2003";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2004";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2005";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2006";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2007";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2008";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2009";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2010";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2011";35,13;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2012";13,58;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2013";8,21;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2014";11,17;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2015";10,87;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2016";13,46;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2017";14,51;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2018";9,82;"osoba";"";
0202000;"Powiat dzierżoniowski";"ofiary śmiertelne na 100 tys. pojazdów";"2019";;"osoba";"n";
